artist,genres
Odd Mob,"aussietronica, bass house, tech house"
Dombresky,"bass house, electro house, house, tech house"
BURNS,la pop
Ian Munsick,"modern country pop, wyoming roots"
Goldroom,"chillwave, indietronica, nu disco"
Thy Art Is Murder,"australian metal, australian metalcore, deathcore, melodic metalcore, metalcore"
Metallica,"hard rock, metal, old school thrash, rock, thrash metal"
Iggy Azalea,"australian hip hop, dance pop, pop"
DJ Maxsie & Alex Speaker,No genres found
Wronip,No genres found
Flight Facilities,"aussietronica, australian dance, australian indie, indietronica, nu disco"
SG Lewis,"electropop, indie soul, uk dance, vapor soul"
Daniel Allan,No genres found
Eibell,sped up
Spencer Sutherland,pop soul
SNBRN,"edm, electro house, house, pop dance, pop edm, uk dance"
Fred again..,"edm, house, stutter house"
Clairo,"bedroom pop, indie pop, pov: indie"
Perlo,ambient folk
Gatlin,modern alternative pop
Mike Posner,"dance pop, pop, pop dance, pop rap"
Junior Choir,No genres found
PlugFiles,No genres found
Stylen,No genres found
4TUNAT,No genres found
Friz,meme
Nyquill,wave
RXLVND,No genres found
Nitin Randhawa,No genres found
DJ Sidereal,No genres found
NGeeYL,"atl trap, south carolina hip hop"
Fantasy Camp,"cloud rap, emo rap"
Ace of Diamonds,No genres found
JVKE,"modern indie pop, pov: indie, singer-songwriter pop"
Thomas Barrandon,synthwave
Tears For Fears,"new romantic, new wave, new wave pop, permanent wave, rock, sophisti-pop, synthpop"
Marcus Smith,No genres found
Sleep Token,prog metal
Halo,meme rap
boygenius,"indie pop, pov: indie"
Valley,"hopebeat, indietronica, singer-songwriter pop"
Andy Cizek,No genres found
Masayoshi Takanaka,classic japanese jazz
Paramore,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
Annisokay,"german metalcore, german post-hardcore, metalcore, trancecore"
Tyler Childers,"kentucky indie, kentucky roots, outlaw country"
Anna of the North,vapor pop
SHAED,electropop
Mae Stephens,singer-songwriter pop
John Summit,house
Phoebe Bridgers,"indie pop, la indie, pov: indie"
PRICE,"christian indie folk, christian uplift"
Grizzly Bear,"art pop, baroque pop, brooklyn indie, indie rock, neo-synthpop, new weird america"
Ghost Atlas,"post-screamo, progressive post-hardcore"
Gracie Abrams,alt z
Ursine Vulpine,No genres found
Chiiild,indie r&b
Yoke Lore,nyc pop
Lizzy McAlpine,"alt z, boston folk, indie pop, singer-songwriter pop"
YNG Martyr,meme rap
Young the Giant,"indietronica, modern alternative rock, modern rock, pov: indie, stomp and holler"
Coast Contra,No genres found
Manchester Orchestra,indie rock
2Pac,"g funk, gangster rap, hip hop, rap, west coast rap"
Waterparks,"neon pop punk, pixie, pop punk, pov: indie, texas pop punk"
Howard Jones,No genres found
L A Pa$to,No genres found
Michigander,michigan indie
Mark Isham,soundtrack
Berlinist,video game music
Ghostland Observatory,indietronica
EVAN GIIA,nyc pop
Johnny 2 Phones,upstate ny rap
Dal Av,thall
Kid Quill,"indiana hip hop, indie pop rap"
Aquilo,"indie anthem-folk, uk pop, vapor soul"
Elena Siegman,video game music
War,"indie hip hop, indie r&b"
Concentrational Brain,No genres found
D'Angelo,No genres found
Mt. Joy,"pov: indie, stomp and holler"
Houndmouth,"indie folk, modern folk rock, new americana, stomp and holler"
Arcade Player,sillycore
Kunning Fox,otacore
Katy Perry,pop
Big Time Rush,"boy band, pop, post-teen pop"
Axero,saxophone house
Pixel Terror,speedrun
Duskus,"future bass, vapor twitch"
Daydreamer,No genres found
Lil Mabu,No genres found
Genesis,australian hip hop
Termina,No genres found
flyingfish,"corecore, zoomergaze"
Van Halen,"album rock, classic rock, hard rock, rock"
Grimes,"art pop, canadian electropop, grave wave, indietronica, metropopolis, neo-synthpop"
Ken Carson,rage rap
Madlib,"abstract hip hop, alternative hip hop, hip hop, instrumental hip hop, psychedelic hip hop"
Notaker,complextro
Savoy,"complextro, electro house, filthstep"
Jarren,liminal space
Danger Boy,No genres found
I Met a Yeti,"progressive post-hardcore, swancore"
I Built the Sky,"djent, instrumental djent, instrumental progressive metal"
The Home Team,pop punk
Adventurer,progressive post-hardcore
Wind Walkers,No genres found
Wheatus,pop rock
Chris Fielding,No genres found
PoLMaX,No genres found
Bruford,"canterbury scene, jazz fusion, jazz rock, progressive rock"
A.T.H. Projekt,No genres found
Billie Tasker,workout product
Pastor John,hi-tech
Hellboy,No genres found
Zombie Disco Squad,destroy techno
Van Dexter,hard techno
Project Pat,"crunk, dirty south rap, gangster rap, memphis hip hop, trap"
Vista Kicks,la indie
Summer Salt,indie garage rock
The Hails,gainesville indie
HARBOUR,cincinnati indie
Ax and the Hatchetmen,No genres found
The Backseat Lovers,"pov: indie, slc indie"
Cub Sport,"australian indie, australian indie rock, brisbane indie"
flipturn,"jacksonville indie, pov: indie"
Ashes To Amber,No genres found
Blankz,japanese chillhop
Chiefs,No genres found
Portugal. The Man,"indie rock, indietronica, modern alternative rock, modern rock"
Disco Lines,stutter house
Green Day,"modern rock, permanent wave, punk, rock"
Cavo,post-grunge
Taking Back Sunday,"emo, neon pop punk, pop punk, post-hardcore, screamo"
The Fray,"neo mellow, piano rock, pop, pop rock"
Nickelback,"alternative metal, canadian rock, post-grunge"
The Used,"alternative metal, neon pop punk, pop emo, post-grunge, post-hardcore, screamo"
Elohim,"electropop, indie poptimism, la pop"
Tilian,progressive post-hardcore
Resilia,"progressive post-hardcore, swancore"
That Mexican OT,texas latin rap
Vinny West,"cali rap, westcoast flow"
Big Moochie Grape,memphis hip hop
Kenny Muney,memphis hip hop
KATO2X,memphis hip hop
DeeBaby,southern hip hop
Jay Fizzle,memphis hip hop
MurdaGang PB,"dfw rap, memphis hip hop"
Quez2rr,No genres found
Cooliecut,No genres found
RG12,No genres found
Flogging Molly,"celtic punk, celtic rock, punk"
The Minions,cartoon
Carlyle Fraser,No genres found
Da Vinci's Notebook,"barbershop, comic"
The Blarney Lads,"irish folk, irish pub song"
The Kilkenny Brothers,irish pub song
Michelle Amato,No genres found
YungManny,dmv rap
Anti Da Menace,"atl drill, atl hip hop"
Noah Kahan,"pov: indie, singer-songwriter pop"
CafunÃ©,No genres found
Origami Angel,"5th wave emo, alternative emo, diy emo, indie punk"
Hastings,No genres found
Doom Mutual,No genres found
estelle allen,"hyper-rock, hyperpop"
AJJ,"acoustic punk, anti-folk, folk punk, pov: indie"
Deeper,"american post-punk, chicago indie, crank wave"
Susumu Hirasawa,"anime score, japanese alternative pop, japanese electropop, japanese soundtrack"
Merchant Ships,"lo-fi indie, midwest emo"
Cheem,"5th wave emo, connecticut indie, new england emo"
Beach House,"art pop, baltimore indie, dream pop, dreamo, indie rock, indietronica, modern dream pop, pov: indie"
Dijon,bedroom soul
Rat Tally,bubblegrunge
Fugazi,"alternative rock, dc hardcore, noise pop, noise rock, post-hardcore, post-punk, punk"
Medium Build,alaska indie
Nouns,"lo-fi emo, lo-fi indie"
John Hinckley,No genres found
Nuages,No genres found
Joshua Travis,No genres found
X-Rl7,No genres found
Shqipet Nuk Falim,No genres found
Bandlez,"brostep, dubstep, gaming dubstep, riddim dubstep"
4B,No genres found
unkn8wn,No genres found
Brand of Sacrifice,"deathcore, melodic metalcore, metalcore, slamming deathcore, symphonic deathcore"
Fit For A King,"christian metalcore, christian rock, melodic metalcore, metalcore"
Ugly God,"trap, underground hip hop"
Richard Caddock,gaming edm
PnB Rock,"melodic rap, rap, trap"
Akon,dance pop
The Lumineers,"folk-pop, modern rock, neo mellow, stomp and holler"
Arizona Zervas,"indie pop rap, pop rap, rhode island rap"
Leona Lewis,"british soul, dance pop, pop, talent show"
Zendaya,"pop, post-teen pop"
Stellar,"christian alternative rock, christian music, christian punk, christian rock"
Arden Jones,singer-songwriter pop
Niall Horan,pop
The Head And The Heart,"folk-pop, seattle indie, stomp and holler"
Louis Tomlinson,pop
THE ANXIETY,No genres found
Plain White T's,"modern rock, neo mellow, neon pop punk, pop punk, pop rock"
George Harrison,"album rock, classic rock, folk rock, mellow gold, rock, singer-songwriter, soft rock"
Michael Hunter,No genres found
D3VIL,No genres found
Lennon Stella,"alt z, canadian pop, uk pop"
RAC,"indietronica, metropopolis, nu disco, shimmer pop"
Allan Rayman,canadian contemporary r&b
Magic City Hippies,miami indie
Karson.,No genres found
Christine and the Queens,"art pop, electro-pop francais, metropopolis, shimmer pop"
Toploader,british alternative rock
Daniel Powter,"canadian pop, neo mellow, pop rock"
Rakeem Miles,baltimore hip hop
The Young Professionals,electropop
Selena Gomez,"pop, post-teen pop"
David Bowie,"art rock, classic rock, glam rock, permanent wave, rock"
Galimatias,"vapor soul, vapor twitch"
Nb Bankz,No genres found
Bea Miller,"alt z, pop, talent show"
Ashe,"midwest emo, new england emo"
Matchbox Twenty,"neo mellow, pop rock, post-grunge"
The Vamps,"boy band, pop"
G Herbo,"chicago drill, chicago rap, drill, trap"
Mustard,"cali rap, pop rap, rap, southern hip hop, trap"
Nick Drake,"british folk, folk, melancholia, singer-songwriter"
Garren Sean,"bay area indie, funktronica"
gianni & kyle,indie pop rap
BabyJake,singer-songwriter pop
USHER,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
Madison Beer,pop
Noah Cyrus,"alt z, pop"
Zach Bryan,classic oklahoma country
Clayas,No genres found
PGF Nuk,chicago drill
88-Keys,alternative hip hop
Lorde,"art pop, metropopolis, nz pop, pop"
VINAI,"dutch house, edm, electro house, melbourne bounce international, pop dance, progressive electro house, slap house"
Vampire Weekend,"baroque pop, chamber pop, garage rock, indie rock, indietronica, modern rock"
Daily J,"auckland indie, australian surf rock"
YoungBoy Never Broke Again,"baton rouge rap, rap"
Ski Mask The Slump God,"hip hop, miami hip hop, pop rap, rap, trap, underground hip hop"
bbno$,"canadian hip hop, dark trap, meme rap"
Wes Walker,No genres found
Rob $tone,"san diego rap, viral trap"
Eminem,"detroit hip hop, hip hop, rap"
Childish Gambino,"atl hip hop, hip hop, rap"
Black Eyed Peas,"dance pop, pop, pop rap"
A$AP Ferg,"hip hop, pop rap, rap, southern hip hop, trap"
Lil Nas X,lgbtq+ hip hop
BABY GRAVY,No genres found
The Cooties,No genres found
Kid Cudi,"hip hop, ohio hip hop, pop rap, rap"
ScHoolboy Q,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Tory Lanez,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap"
J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
"Tyler, The Creator","hip hop, rap"
Pop Smoke,"brooklyn drill, hip hop, rap"
6ix9ine,emo rap
Rich Brian,indonesian hip hop
Rich The Kid,"atl hip hop, melodic rap, plugg, rap, trap"
Future,drum and bass
Migos,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap"
XXXTENTACION,"emo rap, miami hip hop, rap"
88rising,asian american hip hop
Oliver Tree,alternative hip hop
Diplo,No genres found
KIDS SEE GHOSTS,rap
Lil Pump,"emo rap, miami hip hop, pop rap, rap, trap"
Dr. Dre,"g funk, gangster rap, hip hop, rap, west coast rap"
Comethazine,"trap, underground hip hop"
Jazz Cartier,"canadian hip hop, canadian trap, underground hip hop"
Desiigner,"pop rap, rap, southern hip hop, trap, viral trap"
Rae Sremmurd,"melodic rap, mississippi hip hop, pop rap, rap, trap"
Cardi B,"pop, rap"
inverness,No genres found
The Longest Johns,shanty
The Jolly Rogers,"pirate, shanty"
The Fishermanâ€™s Friends,No genres found
Ol' Dirty Bastard,"east coast hip hop, hardcore hip hop, hip hop"
Method Man,"east coast hip hop, hardcore hip hop, hip hop"
Kygo,"edm, pop, pop dance, tropical house"
Brando,"dance pop, pop dance, uk dance"
Falling In Reverse,"alternative metal, rap metal"
S+C+A+R+R,No genres found
PelÃ©,asmr
Jackson Wang,k-pop
Valerie Broussard,"bossbeat, modern alternative pop"
MYRNE,"future bass, gaming edm, melodic dubstep, pop edm, singaporean electronic, singaporean pop, vapor twitch"
Ed Sheeran,"pop, singer-songwriter pop, uk pop"
Hawk,"canadian ccm, ccm, christian alternative rock, christian music, christian punk"
Ddubzyy,cypriot hip hop
Strat,No genres found
DIESEL,No genres found
master stous dromous,No genres found
Lil Jesus,No genres found
Jubin Nautiyal,"filmi, hare krishna, modern bollywood"
Awillie,No genres found
Jon Batiste,new orleans jazz
Ruel,No genres found
jxdn,"pop punk, social media pop"
Nic D,singer-songwriter pop
mgk,No genres found
Sabrina Carpenter,pop
Modjo,"disco house, filter house"
michi,No genres found
camoufly,No genres found
Blackmill,No genres found
Nadia Ali,vocal trance
Spor,tulsa indie
3OH!3,"dance pop, electropowerpop, pop punk, pop rap, post-teen pop"
SpectraSoul,"drum and bass, liquid funk, neurofunk"
Felix Cartal,"canadian electronic, electro house, pop dance, pop edm"
Ali Love,deep disco house
Martin Solveig,"disco house, edm, electro house, filter house, house, pop dance, vocal house"
Matrix & Futurebound,drum and bass
Velvetine,No genres found
Tha New Team,No genres found
Pendulum,"australian dance, dancefloor dnb, drum and bass"
Above & Beyond,"edm, progressive house, progressive trance, trance, uplifting trance"
Foxes,"electropop, metropopolis, uk pop"
Little Jacob,meme
BONES,"cloud rap, dark trap"
Oswald Montana,No genres found
Knock2,bassline
Case & Point,"complextro, gaming edm"
Le Tigre,"dance-punk, queercore, riot grrrl"
Yung Lean,"cloud rap, psychedelic hip hop, underground hip hop"
EDEN,No genres found
Sir Yacht,No genres found
Gabriella Kreuz,No genres found
Quavo,"atl hip hop, melodic rap, rap, trap"
Lil Darkie,"glitchcore, meme rap"
Bladee,"cloud rap, drain, glitchcore, underground hip hop"
Harold Faltermeyer,"german soundtrack, synthesizer, synthpop"
Nigel Good,progressive trance house
Aeron Aether,"progressive breaks, progressive trance house"
brakence,"glitchcore, hyperpop"
Blue Foundation,dream pop
Freestylers,"big beat, breakbeat"
foraw immunity shield,No genres found
Mike Sherm,cali rap
Lee Greenwood,classic country pop
Pat Boone,"adult standards, easy listening, rock-and-roll, rockabilly"
Na Fianna,No genres found
Dance Gavin Dance,"pixie, sacramento indie, screamo, swancore"
Mfly Music,backing track
McFly,"boy band, talent show"
Emarosa,"lexington ky indie, neon pop punk, pop emo, pop punk, progressive post-hardcore, screamo"
Wolf & Bear,"progressive post-hardcore, swancore"
Royal Coda,"progressive post-hardcore, sacramento indie"
Ryxn Pablo,No genres found
Kevin Abstract,"afrofuturism, lgbtq+ hip hop"
Adam Oh,No genres found
Good Times Ahead,"brostep, dutch house, edm, electro house, electronic trap, pop dance"
Bad Computer,complextro
Duumu,"future bass, gaming edm"
JKuch Archive,future bass
acloudyskye,future bass
Roy Blair,bedroom pop
maker,"dark trap, phonk"
Sam Ezeh,No genres found
d4vd,"bedroom pop, bedroom r&b"
Farinas,No genres found
The Red Clay Strays,modern country pop
Monsune,bedroom pop
Todd Baker,video game music
Brian Crawford,No genres found
Brandon Mild,No genres found
Daniel Thrasher,No genres found
Vincent Rubinetti,No genres found
Marcus Veltri,No genres found
Souls Of Mischief,"alternative hip hop, hardcore hip hop, hip hop, jazz rap"
Bo Burnham,"comic, pov: indie"
Telepathic Teddy Bear,monterrey indie
Jack Ãœ,No genres found
Still Woozy,"bedroom pop, oakland indie, pov: indie"
Matt Champion,bedroom pop
Cults,"experimental pop, indie surf, pov: indie"
Chris Young,"battle rap, philly rap"
GoldLink,alternative r&b
Action Bronson,"alternative hip hop, east coast hip hop, hip hop, nyc rap, queens hip hop"
Badfinger,"album rock, beatlesque, classic rock, country rock, folk rock, jangle pop, mellow gold, power pop, singer-songwriter, soft rock"
Paul Wall,"chopped and screwed, crunk, dirty south rap, houston rap"
Slum Village,"alternative hip hop, detroit hip hop, hardcore hip hop, hip hop"
Eliza Rose,house
Jim Guthrie,indie game soundtrack
GENTLE LOVE,"japanese vgm, pixel"
Danny Brown,"alternative hip hop, detroit hip hop, escape room, hip hop, underground hip hop"
Drunk Girl,No genres found
Hollywood Principle,No genres found
DESERT STAR,gaming edm
DJ Shadow,"downtempo, electronica, instrumental hip hop, trip hop"
Kavinsky,filter house
NxWorries,"alternative r&b, indie soul"
Tierra Whack,alternative r&b
Bryson Tiller,"kentucky hip hop, r&b, rap"
Old Dominion,"contemporary country, country, country road, modern country rock"
HUNNY,"indie pop, pov: indie"
Yot Club,bedroom pop
DESTRUKTION,No genres found
SAVAGX PLVYA,No genres found
Pabloo,No genres found
$mile On,No genres found
Sonni Montana,No genres found
Abandon the Fall,No genres found
Mr.Kitty,weirdcore
Coolio,"g funk, gangster rap, hip hop, west coast rap"
Colter Wall,"canadian americana, canadian contemporary country, outlaw country, saskatchewan indie"
Glorb,meme
Ookay,"brostep, dubstep, edm, electro house, electronic trap"
The Griswolds,"hopebeat, indie poptimism, shimmer pop"
Black Coast,meme
Kaiydo,No genres found
Hayden James,"aussietronica, gauze pop, house"
Takeoff,No genres found
GRiZ,"glitch hop, jamtronica, jazztronica, livetronica"
Cevret,No genres found
Sigma,"dancefloor dnb, house, pop dance, uk dance"
Eternal Time & Space,No genres found
FLVR,No genres found
Lyrical Lemonade,No genres found
Justice,"alternative dance, dance-punk, electronica, filter house, indietronica, new rave"
CPRCRN,No genres found
Z Money,No genres found
JC Reyes,urbano espanol
Lu,No genres found
Outcrowd.,No genres found
Barely Legal,No genres found
Dreamer Isioma,"alternative r&b, modern indie pop"
STRFKR,"indie rock, indietronica"
Palace,rally house
Hippo Campus,"modern rock, pov: indie"
Briston Maroney,"nashville indie, pov: indie"
Surf Curse,"dreamo, indie surf, pov: indie, surf punk, vegas indie"
Kid Bloom,pov: indie
Wolf Alice,"indie rock, modern alternative rock, modern rock"
The Ghost of Paul Revere,"maine indie, new england americana"
John D. Boswell,No genres found
Jordan Ward,"indie hip hop, indie r&b"
Â¥$,"etherpop, metropopolis"
Jung Kook,k-pop
Becky G,"latin pop, latin viral pop, rap latina, reggaeton, trap latino, urbano latino"
Gustavo Santaolalla,"argentine ambient, latin classical, latin soundtrack, orchestral soundtrack, soundtrack"
halfâ€¢alive,No genres found
mezh,ambient lo-fi
Didier Armeni,rally house
LOSTBOYJAY,rally house
PXRKX,rally house
GEE LEE,rally house
DR. GABBA,rally house
Dub Striker,rally house
Crystal Waters,diva house
JACK MARLOW,rally house
Haruomi Hosono,"classic j-rock, j-ambient, japanese folk, japanese psychedelic, japanese singer-songwriter, japanese soundtrack, proto-techno"
DM 90,rally house
Curre,"lo-fi indie, pov: indie"
Charlie Iapicone,No genres found
Murphy's Law (UK),No genres found
ObskÃ¼r,No genres found
Inlie,rally house
Peggy Gou,"electra, float house"
Klaus Veen,dutch tech house
Barry Can't Swim,jazz house
Sara Bareilles,"acoustic pop, lilith, neo mellow, pop rock, post-teen pop"
Future Islands,"alternative dance, art pop, baltimore indie, chamber pop, indie rock, indietronica, neo-synthpop, shimmer pop"
Dick Dale,"instrumental surf, surf music"
Elephante,"pop dance, pop edm"
VHS Dreams,synthwave
H7M,No genres found
Microwave,"alternative emo, anthem emo, atlanta punk, dreamo, emo, pop punk"
Bastiangaribay01,rally house
Barbara Tucker,"deep house, diva house, garage house"
Riton,"house, pop dance, uk dance"
Vieze Asbak,meme
Cage The Elephant,"modern alternative rock, modern rock, pov: indie, punk blues, rock"
Jelani Aryeh,bedroom soul
Pity Party (Girls Club),No genres found
Caster,melodic dubstep
Samuel Kim,anime lo-fi
Rainbow Kitten Surprise,pov: indie
Creed,"alternative metal, nu metal, post-grunge, rock"
Mason Ramsey,"contemporary country, country"
Mitski,"brooklyn indie, pov: indie"
Arlie,"modern rock, pov: indie"
UMI,No genres found
The Charlie Daniels Band,"album rock, classic rock, country, country rock, southern rock"
Young M.A,"alternative r&b, lgbtq+ hip hop, nyc rap, rap, trap"
Billen Ted,No genres found
AstroHertz,rally house
Lemtom,rally house
Chris Lorenzo,"bass house, house, tech house"
Sosa UK,tech house
Daniel Simaz,rally house
Sidney Charles,"deep disco house, hamburg electronic, house, tech house"
Unknown T,"grime, uk hip hop"
GRIGGY,No genres found
Habstrakt,"bass house, dubstep, electro house, electronic trap, filthstep"
Devault,vapor twitch
Axwell /\ Ingrosso,"edm, pop dance, progressive electro house"
Pond,neo-psychedelic
Day Wave,"bay area indie, chill dream pop, dreamo, oakland indie"
Lou Bega,latin pop
Teyana Taylor,"alternative r&b, hip pop, r&b, urban contemporary"
Tiana Major9,"alternative r&b, uk contemporary r&b"
Chappell Roan,indie pop
Nelly Furtado,"canadian latin, canadian pop, dance pop, pop"
Dre Wave$,chill abstract hip hop
Tink,"chicago rap, drill, trap queen"
Racoma,seattle indie
The Drums,"brooklyn indie, indie surf"
Eyedress,"noise pop, pov: indie"
Alina Baraz,etherpop
Chase Shakur,No genres found
ReneÃ© Rapp,No genres found
TV Girl,pov: indie
brake,gaming edm
Everyone You Know,london indie
All But 6,No genres found
Elderbrook,uk dance
Two Feet,"indie poptimism, modern rock"
Germ,dark trap
Franz Ferdinand,"alternative rock, dance rock, indie rock, modern rock, rock, scottish rock"
Benson Boone,singer-songwriter pop
Jazmine Sullivan,"hip pop, neo soul, r&b, urban contemporary"
Keane,"escape room, hyperpop, metropopolis, proto-hyperpop"
The Dip,retro soul
Alpine Butterfly,No genres found
Sawyer Hill,No genres found
Nick Dan,No genres found
Kordhell,drift phonk
ROSSY,No genres found
Jimi Hendrix,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock"
Starley,aussietronica
Kanye West,"chicago rap, hip hop, rap"
Birdman,No genres found
lil faygos,No genres found
Jaden,"pop rap, rap"
Bogues,anthem emo
,No genres found
Afroman,comedy rap
Teriyaki Boyz,japanese old school hip hop
j'san,mexican hip hop
No Spirit,"lo-fi beats, lo-fi study"
mell-Ã¸,asmr
Ky akasha,"lo-fi beats, lo-fi study"
jhfly,lo-fi beats
goosetaf,"chillhop, lo-fi beats"
A L E X,lo-fi beats
TABAL,"lo-fi beats, lo-fi study"
Flitz&Suppe,"chillhop, lo-fi beats"
Team Astro,lo-fi study
Laffey,"lo-fi beats, lo-fi study"
Hevi,No genres found
Kainbeats,"anime lo-fi, lo-fi study"
Celestial Alignment,"anime lo-fi, japanese chillhop, lo-fi vgm"
Elijah Lee,"lo-fi beats, lo-fi study"
Sleepermane,"lo-fi beats, lo-fi study"
C4C,hypertechno
Aso,No genres found
tomcbumpz,No genres found
Blumen,progressive jazz fusion
fourwalls,No genres found
TyLuv.,lo-fi study
Towerz,lo-fi study
Dr. Dundiff,kentucky hip hop
Philanthrope,"chillhop, lo-fi beats"
BluntOne,"chillhop, lo-fi beats"
Yasumu,lo-fi study
Casiio,"lo-fi beats, lo-fi sleep, lo-fi study"
Ameba,lo-fi beats
Paisley,swedish tropical house
BVG,"lo-fi chill, lo-fi study"
Ambulo,"lo-fi beats, lo-fi study"
Tom Doolie,lo-fi beats
less.people,"chillhop, lo-fi beats"
Dontcry,"lo-fi beats, lo-fi study"
Hans Zimmer,"german soundtrack, orchestral soundtrack, soundtrack"
Alan Walker,electro house
Glass Animals,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
Jauz,"brostep, edm, electro house"
Mako,super eurobeat
ARTY,"big room, edm, electro house, pop dance, progressive electro house, progressive house, russian edm"
Great Good Fine Ok,"hopebeat, indie poptimism, metropopolis, neo-synthpop, nyc pop"
Duck Sauce,disco house
Scandal,"anime, j-poprock"
Max Frost,"austindie, indie poptimism"
Honey Dijon,garage house
Subtact,"future bass, gaming edm, melodic dubstep"
Sung,synthwave
M83,"french shoegaze, french synthpop, indietronica, metropopolis, neo-synthpop"
MGMT,"alternative rock, indie rock, indietronica, modern rock, rock"
Octave One,"detroit house, detroit techno, minimal techno, techno"
Oliver,"cloud rap, emo rap, melodic rap"
Vince Staples,"conscious hip hop, hip hop, rap, underground hip hop"
Jorja Smith,"r&b, uk contemporary r&b"
SOB X RBE,cali rap
Ab-Soul,"conscious hip hop, hip hop, rap, underground hip hop"
Zacari,No genres found
Lute,"indie hip hop, north carolina hip hop, underground hip hop"
Omen,"speed metal, thrash metal, us power metal"
Cozz,underground hip hop
Mozzy,No genres found
The Captain's Beard,"novelty, shanty"
Lil Tjay,"brooklyn drill, melodic rap, nyc rap, rap"
Crash Land,No genres found
Starbuck,No genres found
Justin OH,No genres found
aloneintokyo,No genres found
Summer Was Fun,gaming edm
Home,No genres found
H E R B,"antiviral pop, comic"
Cam Stacey,No genres found
Keeno,liquid funk
Unfound,chillsynth
ANH,No genres found
Danrell,No genres found
Joe Corfield,"chillhop, jazz boom bap"
kudo,lo-fi study
Epektase,"lo-fi beats, lo-fi study"
xander.,No genres found
softy,No genres found
brillion.,"lo-fi beats, lo-fi study"
Purrple Cat,chill out
Jhove,"lo-fi beats, lo-fi study"
Monma,"chillhop, lo-fi beats"
Chiccote's Beats,No genres found
Lilac,"glitchbreak, glitchcore, hyper-rock"
Juan Rios,chillhop
GlobulDub,No genres found
Kane Brown,"black americana, contemporary country, country, country road"
The Weeknd,"canadian contemporary r&b, canadian pop, pop"
ENRA,"lo-fi beats, lo-fi study"
Mondo Loops,"lo-fi beats, lo-fi sleep, lo-fi study"
Miramare,lo-fi jazzhop
Phlocalyst,lo-fi study
Elior,lo-fi beats
L'IndÃ©cis,No genres found
G Mills,"chillhop, lo-fi beats, lo-fi study"
Kanisan,lo-fi study
HM Surf,"lo-fi beats, lo-fi study"
eaup,focus beats
MiscÃ©l,No genres found
Blue Wednesday,chillhop
Brenky,lo-fi beats
Refeeld,lo-fi study
chief.,lo-fi beats
Enluv,lo-fi study
S N U G,"japanese chillhop, lo-fi study"
felio,No genres found
A$AP Twelvyy,underground hip hop
Zaytoven,"atl hip hop, melodic rap, memphis hip hop, trap"
Meek Mill,"hip hop, philly rap, pop rap, rap, southern hip hop, trap"
Lil Mosey,"melodic rap, rap conscient"
Pierce The Veil,"modern rock, pop punk, screamo"
Goth Babe,"indie rock, pov: indie"
Nirvana,No genres found
The White Stripes,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock"
Pearl Jam,"alternative metal, alternative rock, classic rock, grunge, hard rock, permanent wave, rock"
Beastie Boys,"alternative rock, east coast hip hop, golden age hip hop, hip hop, old school hip hop, rap, rap rock, rock"
Rage Against The Machine,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock"
Calvin Harris,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Gwen Stefani,"dance pop, pop"
Black Sabbath,"album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal"
Justin Bieber,"canadian pop, pop"
Jefferson Airplane,"acid rock, album rock, blues rock, classic rock, folk rock, hard rock, mellow gold, psychedelic rock, rock, singer-songwriter"
Queen,"classic rock, glam rock, rock"
Mr. Belt & Wezol,"dutch edm, house"
Caleb Hearn,singer-songwriter pop
Chill Children,lo-fi beats
Imagine Dragons,"modern rock, pop, rock"
Taio Cruz,"dance pop, pop, pop rap"
Rixton,"post-teen pop, talent show, teen pop, viral pop"
Bernard Fanning,"australian alternative rock, australian rock"
Smash Mouth,"pop rock, post-grunge"
Maroon 5,pop
ford.,"vapor soul, vapor twitch"
PINES,No genres found
Liquid Stranger,"brostep, downtempo, drill and bass, filthstep"
Subtronics,brostep
Waka Flocka Flame,"atl hip hop, dirty south rap, pop rap, rap, southern hip hop, trap"
Kevin Gates,"baton rouge rap, pop rap, rap, southern hip hop, trap"
Daft Punk,"electro, filter house, rock"
Fergie,"dance pop, pop"
Ajmw,"chillhop, lo-fi beats"
iamalex,chillhop
Nothingtosay,"lo-fi beats, lo-fi study"
Oatmello,"focus beats, lo-fi beats"
LMFAO,"dance pop, pop, pop rap"
takeo,yodeling
Lofty,underground hip hop
Mujo,"japanese chillhop, lo-fi beats"
Otaam,lo-fi study
Mila Coolness,"lo-fi sleep, lo-fi study"
Thaehan,lo-fi beats
