artist,genres
Diversa,No genres found
Htiekal,No genres found
Graphwize,No genres found
Isaac Zale,"canadian hip hop, indie hip hop"
Louk,glitch pop
Raimu,"anime lo-fi, japanese chillhop"
A$AP Mob,"hip hop, rap, southern hip hop, trap"
AKTHESAVIOR,underground hip hop
Volt & State,"progressive electro house, sky room"
Closed Sessions,No genres found
Xavi,alternative r&b
spÃ¼ke,No genres found
The C!rcle,"sudanese hip hop, sudanese pop"
Matt OX,"melodic rap, plugg, rage rap"
The Avalanches,"alternative dance, australian alternative rock, australian dance, collage pop, electronica, indietronica, new rave, psychedelic hip hop"
Owsey,chillstep
ATO,aesthetic rap
Rav,"alternative pop rock, neon pop punk, pop emo, texas pop punk"
Bakermat,"minimal tech house, tropical house"
Aaron May,conscious hip hop
Digidudes,meme
DJ Edm,No genres found
cat soup,cloud rap
The Chain Gang Of 1974,shimmer pop
Tame Impala,"australian psych, modern rock, neo-psychedelic, rock"
DJ Fresh,"dancefloor dnb, drum and bass, uk dance"
Dreamville,"hip hop, pop rap, rap"
Two Door Cinema Club,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie"
Mat Kerekes,"alternative emo, anthem emo, dreamo, emo"
Big Sean,"detroit hip hop, hip hop, pop rap, r&b, rap, southern hip hop, trap"
Bobby Shmurda,"nyc rap, rap, trap"
Modestep,"brostep, filthstep"
The Hives,"alternative rock, garage rock, garage rock revival, modern rock, rock, swedish garage rock, swedish hard rock, swedish indie rock"
Khalid,"pop, pop r&b"
Kendrick Lamar,"conscious hip hop, hip hop, rap, west coast rap"
JID,No genres found
Lil Barnacle,meme rap
Bruce Springsteen,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter"
Porter Robinson,"complextro, edm, electro house, pop dance, progressive electro house"
Rexx Life Raj,"cali rap, canadian hip hop"
Denzel Curry,"dark trap, drill, hip hop, miami hip hop, rap, trap, underground hip hop"
k?d,"alt z, pov: indie"
John Williams,"orchestral soundtrack, soundtrack"
Wavves,"indie garage rock, indie rock, indie surf, lo-fi, noise pop, noise rock, nu gaze, san diego indie, surf punk"
3LAU,"edm, electro house, mashup, pop dance, progressive electro house, progressive house"
Twisted Sister,"album rock, classic rock, glam metal, hard rock, metal, rock"
Mariah Carey,"dance pop, pop, urban contemporary"
Adam Sandler,comic
The Beatles,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
Kate Bush,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter"
King Gizzard & The Lizard Wizard,"australian psych, double drumming, microtonal, neo-psychedelic"
Vincent,anime score
Chet Porter,vapor twitch
Logic,"conscious hip hop, hip hop, pop rap, rap"
Neil Davidge,"british soundtrack, video game music"
Said The Sky,"melodic dubstep, pop edm"
lil aaron,"cloud rap, emo rap"
The Knocks,"alternative dance, indie poptimism, nu disco"
Daryl Hall & John Oates,"album rock, classic rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock"
Bob Moses,"canadian electronic, canadian house"
Sugarcult,"neon pop punk, pop punk, screamo"
deadmau5,"canadian electronic, complextro, edm, electro house, pop dance, progressive electro house, progressive house"
Panic! At The Disco,pop
Brian Trifon,video game music
Jai Wolf,electropop
Tritonal,"edm, electro house, pop dance, pop edm, progressive electro house, progressive house, progressive trance"
Adam & The Ants,"new romantic, new wave, new wave pop"
Ludovico Einaudi,"compositional ambient, neo-classical"
2 Chainz,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap"
Lil Uzi Vert,"hip hop, melodic rap, philly rap, rage rap, rap, trap"
Spillage Village,underground hip hop
Raekwon,"east coast hip hop, hardcore hip hop"
Maui Ski Club,No genres found
Zedd,"complextro, edm, german techno, pop, pop dance"
Kaskade,"edm, electro house, pop dance, progressive electro house, progressive house, vocal house"
Fresh Mode,No genres found
Biskwiq,lo-fi rap
